"x","y"
0.139453125,3.16135609677158
0.315234375,3.32738894732584
0.4734375,3.49342179788009
0.64921875,3.68567036167975
0.76640625,3.73810178817056
0.866015625,3.77305607249777
1.006640625,3.77305607249777
1.100390625,3.73810178817056
1.217578125,3.67693179059794
1.340625,3.61576179302533
1.46953125,3.5371146532891
1.639453125,3.40603608706206
1.70390625,3.35360466057124
1.79765625,3.26621894975322
1.903125,3.02153895946274
1.932421875,2.86424467999029
1.932421875,2.75064325592685
1.932421875,2.60208754753621
1.95,2.51470183671818
2.026171875,2.46227041022736
2.1609375,2.40110041265475
2.272265625,2.39236184157294
2.36015625,2.38362327049114
2.5125,2.37488469940934
2.600390625,2.35740755724573
2.75859375,2.2612832753459
2.840625,2.07777328262804
2.87578125,1.85057043450117
2.79375,1.72823043935593
2.68828125,1.64084472853791
2.47734375,1.58841330204709
2.36015625,1.6233675863743
2.184375,1.6321061574561
2.073046875,1.64084472853791
1.897265625,1.6146290152925
1.75078125,1.58841330204709
1.569140625,1.57093615988349
1.4578125,1.54472044663808
1.264453125,1.43985759365644
1.28203125,1.34373331175661
1.440234375,1.26508617202039
1.5984375,1.24760902985678
1.84453125,1.22139331661138
1.932421875,1.16896189012056
2.014453125,1.08157617930253
2.073046875,1.02040618172991
2.1375,0.915543328748281
2.190234375,0.836896189012056
2.325,0.714556193866818
2.45390625,0.583477627639777
